"","Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Director","Actor"
"61",61,"Bright","    Set in a world where fantasy creatures live side by side with humans. A human cop is forced to work with an Orc to find a weapon everyone is prepared to kill for.",117,"Action",6.4,29,126868,"David Ayer","Will Smith"
"62",62,"Mother!","    A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",121,"Drama",6.7,75,118178,"Darren Aronofsky","Jennifer Lawrence"
"63",63,"Phantom Thread","    Set in 1950's London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.",130,"Drama",7.6,90,58684,"Paul Thomas Anderson","Vicky Krieps"
"64",64,"Jungle","    A group of friends join a guide for a trek into the Bolivian jungle, searching for an Indian village. The men soon realize that the jungle is a difficult place to be.",115,"Action",6.7,48,27371,"Greg McLean","Daniel Radcliffe"
"65",65,"In the Fade","    Katja's life collapses after the death of her husband and son in a bomb attack. After a time of mourning and injustice, Katja seeks revenge.",106,"Crime",7.2,64,11080,"Fatih Akin","Diane Kruger"
"66",66,"King Arthur: Legend of the Sword","    Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",126,"Action",6.8,41,148494,"Guy Ritchie","Charlie Hunnam"
"67",67,"Carter & June","    Do the job. Get the money. Get the girl. Get the kid. Simple, right?",87,"Action",4.9,NA,98,"Nicholas Kalikow","Michael Raymond-James"
"68",68,"Ghost in the Shell","    In the near future, Major is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",107,"Action",6.4,52,152931,"Rupert Sanders","Scarlett Johansson"
"69",69,"The Foreigner","    A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.",113,"Action",7,55,63978,"Martin Campbell","Katie Leung"
"70",70,"Fifty Shades Darker","    While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",118,"Drama",4.6,33,71936,"James Foley","Dakota Johnson"
"71",71,"The Hollow Child","    A troubled foster teen, Samantha, works to expose a dangerous supernatural impostor in her new family and rescue her foster sister.",92,"Horror",4.7,NA,227,"Jeremy Lutter","Jessica McLeod"
"72",72,"The Florida Project","    Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",111,"Drama",7.6,92,49767,"Sean Baker","Brooklynn Prince"
"73",73,"Power Rangers","    A group of high-school students, who are infused with unique superpowers, harness their abilities in order to save the world.",124,"Action",6,44,82258,"Dean Israelite","Dacre Montgomery"
"74",74,"The Dark Tower","    The last Gunslinger, Roland Deschain, has been locked in an eternal battle with Walter O'Dim, also known as the Man in Black, determined to prevent him from toppling the Dark Tower, which holds the universe together. With the fate of the worlds at stake, good and evil will collide in the ultimate battle as only Roland can defend the Tower from the Man in Black.",95,"Action",5.7,34,90355,"Nikolaj Arcel","Idris Elba"
"75",75,"Shot Caller","    A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.",121,"Crime",7.3,59,45884,"Ric Roman Waugh","Nikolaj Coster-Waldau"
"76",76,"Bleeding Steel","    A special force agent is assigned to protect a scientist and his creation from a sinister gang.",109,"Action",5.2,NA,3145,"Leo Zhang","Jackie Chan"
